program_code,course_code,course_name,lec_units,lab_units,units,prerequisites,year_level,semester
BSIT,CCS101,Introduction to Computing,2,1,3,none,1,1
BSIT,CCS102,Computer Programming 1,2,1,3,none,1,1
BSIT,ETH101,Ethics,3,0,3,none,1,1
BSIT,MAT101,Mathematics in the Modern World,3,0,3,none,1,1
BSIT,NSTP1,National Service Training Program 1,3,0,3,none,1,1
BSIT,PED101,Physical Education 1,2,0,2,none,1,1
BSIT,PSY100,Understanding the Self,3,0,3,none,1,1
BSIT,CCS103,Computer Programming 2,2,1,3,CCS102,1,2
BSIT,CCS104,Discrete Structures 1,3,0,3,MAT101,1,2
BSIT,CCS105,Human Computer Interaction 1,2,1,3,CCS101,1,2
BSIT,CCS106,Social and Professional Issues,3,0,3,ETH101,1,2
BSIT,COM101,Purposive Communication,3,0,3,none,1,2
BSIT,GAD101,Gender and Development,3,0,3,none,1,2
BSIT,NSTP2,National Service Training Program 2,3,0,3,NSTP1,1,2
BSIT,PED102,Physical Education 2,2,0,2,PED101,1,2
BSIT,ACT101,Principles of Accounting,3,0,3,none,2,1
BSIT,CCS107,Data Structures and Algorithms 1,2,1,3,CCS103,2,1
BSIT,CCS108,Object-Oriented Programming,2,1,3,CCS103,2,1
BSIT,CCS109,System Analysis and Design,3,0,3,CCS101,2,1
BSIT,ITEW1,Electronic Commerce,3,0,3,none,2,1
BSIT,PED103,Physical Education 3,2,0,2,PED102,2,1
BSIT,STS101,Science Technology and Society,3,0,3,none,2,1
BSIT,CCS110,Information Management 1,2,1,3,CCS101,2,2
BSIT,CCS111,Networking and Communication 1,2,1,3,"CCS103, CCS104, CCS105, CCS106",2,2
BSIT,ENT101,The Entrepreneurial Mind,3,0,3,none,2,2
BSIT,ITEW2,Client Side Scripting,2,1,3,ITEW1,2,2
BSIT,ITP101,Quantitative Methods,3,0,3,CCS104,2,2
BSIT,ITP102,Integrative Programming and Technologies,2,1,3,CCS109,2,2
BSIT,PED104,Physical Education 4,2,0,2,PED103,2,2
BSIT,HIS101,Readings in Philippine History,3,0,3,none,3,1
BSIT,ITEW3,Server Side Scripting,2,1,3,ITEW2,3,1
BSIT,ITP103,System Integration and Architecture,2,1,3,ITP102,3,1
BSIT,ITP104,Information Management 2,2,1,3,CCS110,3,1
BSIT,ITP105,Networking and Communication 2,2,1,3,CCS111,3,1
BSIT,ITP106,Human Computer Interaction 2,2,1,3,CCS105,3,1
BSIT,SOC101,The Contemporary World,3,0,3,none,3,1
BSIT,TEC101,Technopreneurship,3,0,3,ENT101,3,1
BSIT,CCS112,Applications Development and Emerging Technologies,2,1,3,CCS103,3,2
BSIT,CCS113,Information Assurance and Security,2,1,3,3rd Year Standing,3,2
BSIT,HMN101,Art Appreciation,3,0,3,none,3,2
BSIT,ITEW4,Responsive Web Design,2,1,3,ITEW3,3,2
BSIT,ITP107,Mobile Application Development,2,1,3,CCS108,3,2
BSIT,ITP108,Capstone Project 1,3,0,3,"ITP104, CCS108, ITP103, ITP105, ITP106, ITEW3",3,2
BSIT,ITP109,Platform Technologies,2,1,3,ITP106,3,2
BSIT,ENV101,Environmental Science,3,0,3,none,4,1
BSIT,ITEW5,Web Security and Optimization,2,1,3,ITEW4,4,1
BSIT,ITP110,Web Technologies,2,1,3,ITP106,4,1
BSIT,ITP111,System Administration and Maintenance,2,1,3,"ITP105, ITP109",4,1
BSIT,ITP112,Capstone Project 2,3,0,3,ITP108,4,1
BSIT,RIZ101,Life and Works of Rizal,3,0,3,none,4,1
BSIT,ITEW6,Web Development Frameworks,2,1,3,ITEW5,4,2
BSIT,ITP113,IT Practicum (500 hours),0,9,9,ITP108,4,2
