program_code,course_code,year_level,semester
2,ENG101,1,1
2,FIL101,1,1
2,MATH101,1,1
2,PE101,1,1
2,NSTP101,1,1
2,CC101,1,1
2,CC102,1,1
2,ENG102,1,2
2,FIL102,1,2
2,MATH102,1,2
2,PE102,1,2
2,NSTP102,1,2
2,CC103,1,2
2,DS101,1,2
2,HUM101,2,1
2,STS101,2,1
2,MATH103,2,1
2,PE103,2,1
2,SDF104,2,1
2,CC104,2,1
2,HUM102,2,2
2,SOCSCI101,2,2
2,PE104,2,2
2,CC105,2,2
2,DS102,2,2
2,RIZAL101,2,2
2,AL101,2,2
2,CC106,3,1
2,AL102,3,1
2,AR101,3,1
2,IAS101,3,1
2,SE101,3,1
2,CS_ELEC1,3,1
2,NC101,3,2
2,OS101,3,2
2,PL101,3,2
2,SP101,3,2
2,SE102,3,2
2,CS_ELEC2,3,2
2,HCI101,4,1
2,THS101,4,1
2,CS_ELEC3,4,1
2,PRC101,4,1
2,THS102,4,2
2,CS_ELEC4,4,2
3,ENG101,1,1
3,FIL101,1,1
3,MATH101,1,1
3,PE101,1,1
3,NSTP101,1,1
3,CC101,1,1
3,CC102,1,1
3,ENG102,1,2
3,FIL102,1,2
3,MATH102,1,2
3,PE102,1,2
3,NSTP102,1,2
3,CC103,1,2
3,IS101,1,2
3,HUM101,2,1
3,STS101,2,1
3,PE103,2,1
3,CC104,2,1
3,IS102,2,1
3,IS103,2,1
3,HUM102,2,2
3,SOCSCI101,2,2
3,PE104,2,2
3,CC105,2,2
3,RIZAL101,2,2
3,DM101,2,2
3,IS104,2,2
3,DM102,3,1
3,IS105,3,1
3,QUAMET,3,1
3,IS_ELEC1,3,1
3,DM103,3,2
3,IS106,3,2
3,IS_ELEC2,3,2
3,CC106,3,2
3,DM104,4,1
3,IS107,4,1
3,CAP101,3,2
3,IS_ELEC3,4,1
3,IS_ELEC4,4,1
3,CAP102,4,2
3,PRAC101,4,2
1,ENG101,1,1
1,FIL101,1,1
1,MATH101,1,1
1,PE101,1,1
1,NSTP101,1,1
1,CC101,1,1
1,HCI101,1,1
1,ENG102,1,2
1,FIL102,1,2
1,MATH102,1,2
1,PE102,1,2
1,NSTP102,1,2
1,CC102,1,2
1,MS101,1,2
1,HUM101,2,1
1,STS101,2,1
1,PE103,2,1
1,CC103,2,1
1,PF101,2,1
1,PT101,2,1
1,HUM102,2,2
1,SOCSCI101,2,2
1,PE104,2,2
1,CC104,2,2
1,CC103,2,2
1,IPT101,2,2
1,RIZAL101,2,2
1,NET101,2,2
1,CC105,3,1
1,IAS101,3,1
1,MS102,3,1
1,SIA101,3,1
1,NET102,3,1
1,IT_ELEC1,3,1
1,CC106,3,2
1,IAS102,3,2
1,SP101,3,2
1,WS101,3,2
1,IPT102,3,2
1,IT_ELEC2,3,2
1,IM101,2,2
1,SA101,4,1
1,WS102,4,1
1,CAP101,3,2
1,HCI102,4,1
1,IT_ELEC3,4,1
1,SIA102,4,2
1,CAP102,4,2
1,PRAC101,4,2
1,IT_ELEC4,4,2
